NbName,Unhappy people in %
Achtse Barrier-Hoeven,6
Achtse Barrier-Spaaihoef,4
Barrier,6
Bennekel-Oost,9
"Bennekel-West, Gagelbosch",9
Bergen,6
Binnenstad,5
Blaarthem,10
Blixembosch-Oost,3
Blixembosch-West,3
Bloemenplein,9
Bosrijk,2
Burghplan,10
Doornakkers-Oost,6
Doornakkers-West,6
Drents Dorp,10
Driehoeksbos,7
Eckart,6
Eikenburg,3
"Eliasterrein, Vonderkwartier",5
Elzent-Noord,4
Elzent-Zuid,4
Engelsbergen,5
Genderbeemd,5
Genderdal,7
Generalenbuurt,8
Genneperzijde,4
Gerardusplein,6
Gijzenrooi,3
Gildebuurt,9
Grasrijk,2
Hagenkamp,8
Hanevoet,5
Heesterakker,3
Hemelrijken,9
Het Ven,7
Irisbuurt,9
Jagershoef,8
Joriskwartier,6
Karpen,4
Kerkdorp Acht,3
Kerstroosplein,9
Koudenhoven,4
Kronehoef,6
Kruidenbuurt,5
Lakerlopen,7
Lievendaal,6
Limbeek-Noord,9
Limbeek-Zuid,9
Looiakkers,6
Luytelaer,4
Meerrijk,5
Mensfort,8
"Muschberg, Geestenberg",6
Nieuwe Erven,9
Ooievaarsnest,5
Oude Gracht-Oost,4
Oude Gracht-West,6
Oude Spoorbaan,8
Oude Toren,12
Philipsdorp,7
Prinsejagt,7
Puttense Dreef,3
Rapelenburg,10
Rapenland,8
Rochusbuurt,6
Roosten,3
Schoot,7
Schouwbroek,7
Schrijversbuurt,8
Schuttersbosch,3
Sintenbuurt,10
Strijp S,9
't Hofke,6
't Hool,9
Tempel,5
Tivoli,10
Tongelresche Akkers,6
Tuindorp,9
Vaartbroek,8
Villapark,4
Vlokhoven,10
Waterrijk,5
Winkelcentrum,9
Witte Dame,6
Woenselse Heide,10
Woenselse Watermolen,12
Woensel-West,7
Zandrijk,2
Zwaanstraat,1
